Shipment_ID,Weight_kg,Volume_m3,Pickup_Latitude,Pickup_Longitude,Delivery_Latitude,Delivery_Longitude,Delivery_Priority,Vehicle_Capacity_kg,Vehicle_Capacity_m3,Fuel_Cost_per_km,Vehicle_Type,Distance_km,Estimated_Travel_Time_h,Route_Type,Fuel_Cost_per_km,Fixed_Cost_per_Shipment,Variable_Cost_per_km,Delivery_Deadline,Special_Requirements,Urgency_Level,Packaging_Type,Border_Crossing_Fee,Weather_Impact,Region
ID_0,466,1.35,-40.494723,-99.644134,42.564819,63.611815,Low,500,5,0.2,Small Van,105,1.98,Urban,0.2,201,0.54,2025-03-19 05:01:52,True,Low,Fragile,0.0,Wind,Australia
ID_1,912,22.52,-39.925673,132.948115,46.585326,-122.522646,Medium,5000,50,1.0,Large Truck,114,2.5,Highway,1.0,121,0.32,2025-02-27 08:55:56,False,Medium,Standard,0.0,Clear,Asia
ID_2,1891,26.86,85.160838,-43.727624,9.367314,118.585679,Low,5000,50,1.0,Large Truck,56,0.7,Urban,1.0,197,0.35,2025-04-01 04:56:22,False,High,Fragile,50.41,Fog,Australia
ID_3,1504,8.22,-26.051274,61.263063,36.327656,66.07716,High,10000,80,1.5,Plane,177,2.61,Rural,1.5,212,0.34,2025-03-07 18:45:42,True,Low,Perishable,82.08,Rain,Australia
ID_4,1302,20.12,-78.086051,148.729005,12.092409,78.449137,High,20000,150,0.15,Ship,156,2.79,Mountainous,0.15,151,0.91,2025-03-06 15:35:29,False,Low,Standard,0.0,Fog,North America
ID_5,1645,18.16,89.51864,-130.200572,-1.16715,92.081577,High,2000,20,0.5,Medium Truck,620,14.15,Mountainous,0.5,210,0.33,2025-03-13 04:52:06,False,Low,Perishable,88.86,Clear,Africa
ID_6,2962,5.82,69.261921,90.316008,48.347772,-57.53683,Medium,20000,150,0.15,Ship,522,6.09,Highway,0.15,90,0.56,2025-03-19 07:44:30,True,Low,Perishable,60.61,Rain,Australia
ID_7,1541,38.15,7.088225,100.305532,5.463661,-179.794117,Medium,20000,150,0.15,Ship,909,9.17,Highway,0.15,54,0.29,2025-04-02 20:12:37,False,High,Fragile,0.0,Wind,South America
ID_8,360,36.62,56.884186,172.074418,5.887111,-134.726216,Low,20000,150,0.15,Ship,550,5.96,Highway,0.15,292,0.64,2025-03-15 05:14:28,True,Low,Standard,0.0,Rain,North America
ID_9,1286,20.01,30.903653,-45.568619,71.930535,-17.464989,High,2000,20,0.5,Medium Truck,577,10.72,Intercontinental,0.5,66,0.47,2025-03-05 08:49:17,True,High,Standard,0.0,Rain,Australia
ID_10,138,43.0,-77.245677,-94.318332,30.416,-102.874749,High,10000,80,1.5,Plane,836,12.98,Mountainous,1.5,197,0.58,2025-02-27 06:08:50,True,Low,Perishable,0.0,Snow,North America
ID_11,1693,23.4,41.233653,62.411237,87.149738,-144.569566,Medium,5000,50,1.0,Large Truck,206,4.01,Rural,1.0,254,0.89,2025-03-16 10:55:20,True,Medium,Fragile,0.0,Rain,Asia
ID_12,1825,40.42,64.074041,-144.752858,27.386081,14.611658,High,500,5,0.2,Small Van,180,2.8,Rural,0.2,287,0.8,2025-03-18 01:04:22,True,Medium,Fragile,0.0,Rain,North America
ID_13,18,49.27,-42.26345,102.265417,-8.098494,-27.717305,Low,10000,80,1.5,Plane,204,3.53,Rural,1.5,219,0.77,2025-02-25 12:23:15,True,Low,Perishable,0.0,Wind,Asia
ID_14,2069,45.98,5.602704,-159.523351,1.409129,126.483316,High,10000,80,1.5,Plane,423,8.96,Rural,1.5,67,0.74,2025-03-22 07:58:10,True,Low,Standard,0.0,Clear,Asia
ID_15,2702,29.23,4.100889,156.494253,-53.233344,77.829048,High,5000,50,1.0,Large Truck,478,8.11,Highway,1.0,151,0.3,2025-03-31 04:14:07,True,High,Perishable,0.0,Wind,Asia
ID_16,310,26.93,1.059245,-132.315635,-27.17841,-155.235127,High,5000,50,1.0,Large Truck,730,12.55,Intercontinental,1.0,122,0.33,2025-04-02 20:35:21,True,Low,Standard,0.0,Snow,North America
ID_17,434,46.95,-65.827599,-138.445679,-70.733524,19.160511,Medium,5000,50,1.0,Large Truck,218,2.68,Highway,1.0,204,0.37,2025-04-05 01:57:54,False,Low,Perishable,0.0,Clear,Australia
ID_18,2608,21.24,-40.19756,-178.723552,48.80146,49.360816,Medium,2000,20,0.5,Medium Truck,584,14.39,Mountainous,0.5,239,0.55,2025-02-26 07:54:54,True,Low,Fragile,0.0,Snow,North America
ID_19,2273,7.49,-67.059807,-69.026994,71.816668,106.60403,High,5000,50,1.0,Large Truck,372,4.29,Urban,1.0,103,0.75,2025-03-14 09:42:49,True,High,Fragile,84.86,Fog,Africa
ID_20,744,36.85,-30.206616,155.093719,54.402325,131.06305,High,5000,50,1.0,Large Truck,401,4.34,Urban,1.0,90,0.83,2025-04-05 08:35:00,False,High,Fragile,0.0,Fog,North America
ID_21,1260,41.04,66.838146,-99.747523,28.805973,-36.552248,Medium,500,5,0.2,Small Van,666,9.44,Highway,0.2,297,0.82,2025-03-27 15:56:44,False,High,Fragile,40.9,Wind,Europe
ID_22,166,5.51,-11.778523,82.276222,-33.538083,38.235187,Low,500,5,0.2,Small Van,270,6.33,Rural,0.2,148,0.92,2025-03-15 20:17:36,True,Low,Standard,0.0,Rain,Europe
ID_23,1776,3.59,29.562783,-61.127987,-33.495184,125.285501,Low,5000,50,1.0,Large Truck,344,5.36,Mountainous,1.0,179,0.45,2025-03-09 00:42:46,True,High,Perishable,0.0,Fog,Europe
ID_24,722,30.81,-35.829023,17.257397,-89.926931,-76.711062,Medium,10000,80,1.5,Plane,462,6.94,Mountainous,1.5,205,0.72,2025-03-05 01:13:47,False,Low,Fragile,0.0,Snow,Australia
ID_25,2729,31.68,-29.666114,114.632447,45.204865,62.206441,High,2000,20,0.5,Medium Truck,496,6.47,Rural,0.5,87,0.22,2025-03-31 23:36:16,True,Medium,Perishable,66.05,Fog,Africa
ID_26,1646,12.27,28.090442,-178.003865,45.173606,97.216628,High,20000,150,0.15,Ship,485,11.28,Intercontinental,0.15,106,0.34,2025-03-06 18:35:12,True,Medium,Fragile,73.41,Wind,Asia
ID_27,1309,47.51,70.456667,40.554836,39.469313,1.720139,Low,20000,150,0.15,Ship,470,8.46,Mountainous,0.15,279,0.33,2025-03-06 16:18:17,False,Low,Perishable,0.0,Snow,Africa
ID_28,327,35.71,-47.791156,-59.094887,70.74483,-150.992043,High,2000,20,0.5,Medium Truck,75,1.16,Rural,0.5,148,0.76,2025-03-10 17:45:16,False,Medium,Fragile,0.0,Fog,Asia
ID_29,2402,47.31,-86.484248,137.036402,13.624262,-8.287296,Medium,5000,50,1.0,Large Truck,561,6.61,Mountainous,1.0,242,0.51,2025-03-21 04:32:23,True,Medium,Fragile,0.0,Fog,Asia
ID_30,1602,16.87,32.245539,-34.445999,-60.291948,-11.739546,High,10000,80,1.5,Plane,616,8.34,Mountainous,1.5,186,0.22,2025-02-23 23:49:33,True,Low,Perishable,0.0,Rain,North America
ID_31,754,2.61,-21.761304,-103.802298,-31.167755,94.042695,Medium,5000,50,1.0,Large Truck,268,2.97,Mountainous,1.0,242,0.96,2025-03-17 12:11:48,True,Low,Standard,0.0,Snow,Asia
ID_32,2672,3.52,82.311408,-165.50707,-84.4146,-90.978011,High,10000,80,1.5,Plane,695,14.83,Mountainous,1.5,89,0.39,2025-03-05 06:11:48,False,Low,Perishable,0.0,Rain,South America
ID_33,2497,48.19,39.304301,100.005079,-60.522154,-68.025989,Low,500,5,0.2,Small Van,416,4.31,Mountainous,0.2,287,0.45,2025-03-04 07:19:14,True,Low,Standard,39.43,Snow,Africa
ID_34,2469,40.3,53.320899,23.73572,-82.607557,11.788288,Low,5000,50,1.0,Large Truck,22,0.24,Highway,1.0,67,0.6,2025-04-03 14:20:04,False,High,Perishable,70.85,Fog,Australia
ID_35,636,21.83,42.083155,167.570543,-41.385169,110.951719,Low,20000,150,0.15,Ship,284,4.79,Intercontinental,0.15,169,0.55,2025-03-06 14:16:20,True,Medium,Perishable,0.0,Fog,Australia
ID_36,2509,33.44,-29.448608,-2.049659,-31.49745,-4.482024,Medium,5000,50,1.0,Large Truck,728,7.84,Intercontinental,1.0,137,0.42,2025-03-21 15:47:35,True,Low,Fragile,0.0,Fog,Africa
ID_37,2284,37.93,34.309681,52.525044,-1.65216,105.455833,High,5000,50,1.0,Large Truck,323,4.05,Rural,1.0,106,0.52,2025-03-12 14:11:22,False,Low,Standard,0.0,Wind,Asia
ID_38,1451,35.17,-41.235043,-89.494677,-68.281941,-110.669654,High,10000,80,1.5,Plane,206,3.89,Rural,1.5,293,0.81,2025-03-18 04:22:55,False,Low,Standard,61.97,Snow,Europe
ID_39,805,14.88,-25.041408,-71.183668,37.443327,-134.430134,High,500,5,0.2,Small Van,663,7.2,Rural,0.2,191,0.43,2025-03-18 12:09:53,True,High,Standard,0.0,Snow,North America
ID_40,1970,22.08,-56.814539,-161.504382,79.391447,-8.017493,High,20000,150,0.15,Ship,165,3.37,Urban,0.15,175,0.26,2025-03-22 00:00:19,False,High,Fragile,0.0,Fog,Asia
ID_41,2451,39.56,-49.376315,8.126113,-8.907396,-20.620439,Low,20000,150,0.15,Ship,634,6.5,Urban,0.15,128,0.65,2025-02-27 11:51:54,True,Low,Fragile,0.0,Clear,Africa
ID_42,992,8.77,-76.488324,-179.03674,-8.909333,33.77203,Medium,500,5,0.2,Small Van,729,7.96,Highway,0.2,109,0.43,2025-02-26 03:10:48,True,Medium,Standard,0.0,Rain,South America
ID_43,480,27.27,26.57425,147.02812,58.793609,-154.292459,High,5000,50,1.0,Large Truck,953,16.63,Intercontinental,1.0,202,0.8,2025-02-28 17:07:56,False,Low,Perishable,0.0,Snow,Asia
ID_44,2221,24.74,-75.520467,-165.650118,-12.23484,-63.96423,Medium,500,5,0.2,Small Van,611,6.3,Intercontinental,0.2,73,0.38,2025-03-31 19:15:36,False,Low,Fragile,0.0,Rain,Africa
ID_45,2135,32.61,74.893102,-114.663907,15.359333,48.522499,Medium,500,5,0.2,Small Van,338,4.21,Highway,0.2,170,0.48,2025-04-05 07:34:52,True,Medium,Perishable,0.0,Snow,Asia
ID_46,1650,40.7,9.01739,-16.262673,-33.386912,-63.621437,Medium,10000,80,1.5,Plane,483,7.45,Intercontinental,1.5,261,0.99,2025-03-03 18:47:57,False,Low,Perishable,0.0,Clear,Australia
ID_47,1103,27.51,76.981097,-22.278206,35.685005,-136.28661,Low,10000,80,1.5,Plane,328,4.49,Rural,1.5,254,0.39,2025-03-21 11:40:09,False,High,Fragile,93.03,Fog,South America
ID_48,2663,41.62,-0.292409,77.977197,1.596963,-81.567037,Medium,20000,150,0.15,Ship,402,7.82,Rural,0.15,112,0.57,2025-03-23 18:34:30,True,High,Perishable,0.0,Fog,North America
ID_49,2089,13.43,-89.538253,81.378354,60.745666,28.772418,Low,20000,150,0.15,Ship,505,8.32,Intercontinental,0.15,271,0.32,2025-03-21 11:16:48,False,Medium,Perishable,98.46,Rain,Europe
ID_50,1578,11.75,49.598006,-164.286972,44.046927,73.882037,Medium,20000,150,0.15,Ship,517,5.28,Rural,0.15,219,0.83,2025-02-28 19:20:14,False,High,Perishable,0.0,Fog,Africa
ID_51,2969,7.29,66.767935,169.184446,-76.530915,101.349105,Medium,5000,50,1.0,Large Truck,882,14.77,Urban,1.0,209,0.75,2025-03-27 09:55:59,False,Medium,Standard,0.0,Fog,North America
